artist_id,name,popularity,genres,img_url,followers,ranking
4yeqpBcdqzt9AVvvzTpJq6,Pateando al Perro,4,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b2737d28668c15126c582f4bf0e6,,unkwown
5OPTcRPbMMiTOkbxhU56lA,Opus 4:40,19,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273d1be9a274a25178d695d2ec0,,blooming
6sKxxYIo74SVq0e09pNUCT,Icaro,6,[],https://i.scdn.co/image/ab67616d0000b2736b623044d369abbf50ee0e42,,unkwown
71bvN7Y6iJdJJmvzlFImyi,Wapb's,6,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b2731283ed40410912632a37b786,,unkwown
3MCqjNuqAL5Ovan3YZZfL4,Lapsus,1,[],https://i.scdn.co/image/ab67616d0000b2735743216f32910d2aada3b5fd,,unkwown
1HQKkzStrRzarGcP2hcWnE,Irreversible Bolivia,8,['cumbia boliviana'],https://i.scdn.co/image/761aeeb183b5805586bfd9b9cdf587698bda64ad,,unkwown
1JypRMOBn4rkHvWMOT694Q,Nanda Manachi & Savia Andino,15,[],https://i.scdn.co/image/ab67616d0000b2731ced1b9f899d9398e937e712,,starters
2B2jM15msacseMZ741IMHy,Capital,2,[],https://i.scdn.co/image/ab67616d0000b2739c658e264c16865cc8a605a4,,unkwown
3o8EBZynaPaIvOU426I4Oj,Veneno,16,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b2730765b9651f8c0457d7be8f7d,,starters
05c0eIYflmDPeu1mC1eDrg,Grupo Karacol & Adanis Delgado,11,[],https://i.scdn.co/image/ab67616d0000b2736de9932b860304627915cce9,,starters
0zH0q8zvyu7U7XyLNHCnzK,Diáfana,6,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b2737da96ec940b6fb8338822186,,unkwown
31XQYjxS44AkYTM3b3tK1O,José Luis Cordova,20,[],https://i.scdn.co/image/ab67616d0000b2738b8b0c48861494d2e808f246,,blooming
1Jvpk8cOcAn8rx1f40hCZt,K'achas,13,[],https://i.scdn.co/image/ab67616d0000b273587b72951e9951df7cfa5406,,starters
6Ghj6Q12zxmqh4thzM1kLg,Aymuray,8,[],https://i.scdn.co/image/ab67616d0000b273bc27e641f077ed4403c19a19,,unkwown
2EN1815G80EwjmqMfdzmLk,Luis Gutierrez,24,[],https://i.scdn.co/image/ab67616d0000b273f66ffc167cf779d883f3ebe4,,blooming
6UVAmQXyP4ojWcS5nHWUBs,Gerardo Arias,16,[],https://i.scdn.co/image/ab67616d0000b273665e7d439733d6d1c096111e,,starters
7LdXWN5g8yECAbIvEjyy8V,Mistika,5,[],https://i.scdn.co/image/ab67616d0000b2734314d77f6cca984d69f890eb,,unkwown
4vU3H8sq9yP4L6dyg0rPAC,Ácido Domingo,2,['indie boliviano'],https://i.scdn.co/image/f35c1ba339ffbb683cd56114053199e06374fd06,,unkwown
6saMD4Q6gBk5LOn2LOyzn2,Banda Militar Boliviana,7,[],https://i.scdn.co/image/ab67616d0000b27328f4a421add51a8633cbe663,,unkwown
1bAItp0jYx6k2Bz1jV0muN,PliKa,2,[],https://i.scdn.co/image/ab67616d0000b2739bea264bc2ec8dd28f63d111,,unkwown
0NteB9nhib2gnBQti5C5PN,Runakay Bolivia,0,['salay'],,,unkwown
6Z8KMP3GdNfeyOBNp2B9wT,T'ikas Wayra,6,[],https://i.scdn.co/image/e2280a9b165ce867cb7000b259f97562bdd5e55a,,unkwown
7gCnk0Ivq35DH5hDeh9qTM,Juan Lovera,4,[],https://i.scdn.co/image/ab67616d0000b273e6449bbbcc93b9b9853f46b5,,unkwown
22vbrs8DqWQ0wN5zgPV2Uz,Mara Bolivia,9,['salay'],,,starters
4Csbz9Fc5L9USnnAbyH0oZ,Motel Groove,1,[],https://i.scdn.co/image/182bbf23f7c14e54a3de3dd9f7d00d588ec2c4f8,,unkwown
40yzYSCIcREdRV4SuDIDMP,Sumaya,10,['salay'],https://i.scdn.co/image/ab67616d0000b273d72d024dfc55bda79e501906,,starters
6OAUJXe2dPNUp5eMkh1ErT,H3O,15,['indie boliviano'],https://i.scdn.co/image/ab67616d0000b273b4c3edcedbe58892a1240b37,,starters
4ANA9OGZWiV5TIUuQoG77R,Waliki,9,['salay'],https://i.scdn.co/image/ab67616d0000b273a20c7d9f6b1d719b74ba42a2,,starters
5PuMercJBTqJY4c4HdwD5R,RAGGA-KI,3,[],https://i.scdn.co/image/ab67616d0000b273800749f3861b6ee318986d6c,,unkwown
3y28X1F1ZxRaXe3JfN4ThJ,Yawarmanta,6,[],https://i.scdn.co/image/dbc48d313fb6d9e333e23f9f02f4f5e3adec090d,,unkwown
2lVPmcuS6vEGXzZbF2tdVE,El Trío Pelotas,17,[],https://i.scdn.co/image/69d54bcd1ede296a124493405a9dadabef510dbe,,starters
5J6zAv32C1JH6if552R3hr,Montellano,0,[],https://i.scdn.co/image/9d0a2e9bed4781e4a3a26ff4ea962e822fe2ceb8,,unkwown
1IEdZMndnqIAabxVTbfO8B,Chuquiago,11,[],https://i.scdn.co/image/ab67616d0000b273cea9cc59ee7109067cbbb18b,,starters
15yTzkgR4eoqBUzMrzOQX5,Grupo Lejania,11,['salay'],https://i.scdn.co/image/ab67616d0000b2736649902dfcb81ad7f368ac0d,,starters
6bH2XgEcgrZqaG5HLfuNcZ,Anadda,4,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b273639b1af7ee0ef864bb19583f,,unkwown
5cZuv449OspxPrjcVnLUrR,Gonzalo Hermosa González,7,['charango'],https://i.scdn.co/image/ab67616d0000b273e9c5731ada20a2f6735e3118,,unkwown
6uQ2u5yv5t8Tje140MNP4U,AYNA BOLIVIA,0,['salay'],,,unkwown
0jCL4vbWSnbIKQpHCvQp5B,Kharua,13,['salay'],https://i.scdn.co/image/ab67616d0000b273de432584207f49f9ba77dd01,,starters
4WsSJ7RxWsjWMlhWwKoGXA,Sisay Bolivia,4,[],https://i.scdn.co/image/ab67616d0000b273d397427e432988b31dd3f9d3,,unkwown
3G7grJlEjE6FPQJFAUVBIA,Los Maynis,8,['salay'],https://i.scdn.co/image/ab67616d0000b2731dde002c58cd6c555fef89ac,,unkwown
1aMjexwwhW1DiFPRX3FlJW,Jackeline,3,[],https://i.scdn.co/image/ab67616d0000b273e8c789bc753039cb5f22edaa,,unkwown
5nkGgqQmbOEnaHhzQk6Bzf,Confusión B.,4,[],https://i.scdn.co/image/ab67616d0000b2731dbafb4c3a9ba86d9fea2c92,,unkwown
4TwddXfzAu5AYMOles9r7u,Consagrados,0,[],https://i.scdn.co/image/ab67616d0000b273207c90231003249022823452,,unkwown
3D0ByYZA6guTdfkiN4ZUt9,Kapaj,6,[],https://i.scdn.co/image/ab67616d0000b273b0642a469a46c9eaa656eb7e,,unkwown
1Ih0CU2nQNcBUjUYHKemrn,Grupo Femenino Candela,6,[],https://i.scdn.co/image/ab67616d0000b2735abced6ac679b3259694b43f,,unkwown
11YkwFa2HKH9zas2BBRk7O,Mc Drilox,10,[],https://i.scdn.co/image/f7593e9d128d4a0218de407cc7d06f7e3f89093a,,starters
4l0bJgGo8GJYXiXL7aZJao,soria records,15,[],https://i.scdn.co/image/ab67616d0000b2730ab46dc76259c642030e0158,,starters
1hqVjBGt5Eb91laExZ58AQ,Sur Anonimo,7,[],https://i.scdn.co/image/ab67616d0000b2737fcc48619f9faa827c46233e,,unkwown
4Dkr5dTqMLI6vVI303MBDa,Saraya Bolivia,3,[],https://i.scdn.co/image/ab67616d0000b27328dc3c401347aebc48ef49ed,,unkwown
6Jhh309jMxQmDMHco40CcU,Kollasuyo,0,['salay'],,,unkwown
7rsWpmBlaDWndspQrhyMkC,Magoman,0,[],,,unkwown
0PuGi5xDkkBSp0VxPqAdwJ,Rodrigo Mc,3,[],https://i.scdn.co/image/ab67616d0000b2731ea62f0371467575d06acf29,,unkwown
0MfqiQWF3Ia3gMbgxu6gu6,X Siempre Sabaya,3,[],,,unkwown
7b4FiXD70tUTy79EYPNgwP,Juan Manuel Thorrez,3,[],https://i.scdn.co/image/ab67616d0000b273975ef59d6820149ee346018c,,unkwown
1S6elt0a8pmo996HL2y9Gz,Gaston Sosa,0,[],,,unkwown
0ReBcEK3lxWyrEjmtPcSVA,Grupo Sangre Morena,4,[],https://i.scdn.co/image/ab67616d0000b27330a7c9647c1d29024dc3be3c,,unkwown
0XHxkCFOev9OGFIRD2S3sr,Xavier Xk,6,[],https://i.scdn.co/image/ab67616d0000b2732a683afec12a9b727645abb2,,unkwown
