id,name,tracks,followers,owner_name,owner_id,description
65vCOvbKY2rsOYUXdsEJyX,CUMBIAS BOLIVIANAS DE LOS 90,232,152,Gregorio Mollericona,21xg3743g3jg3cafv6j32ofya,
3mEcFXW5IE5IKxXQQBgO2F,Caporales Bolivia,64,188,12141918928,12141918928,"Caporales Bolivia San Simon, Sambos, CBN, Centralistas, ENAF"
3IsL5jwux8IR0FFmQ0iO5C,musicas Nacionales Bolivianas,71,82,Marydanitza,d0lkkx7robtn0tgtwhsf3ij44,
61j7OdOYSOdPsSphgLSIoD,rock boliviano,84,308,Hugo Escobar Carreño,12147836104,"lo mejor octavia, oz, llegas, etc"
1lVWNxsB3oONMDr9csg6jQ,Lamento Boliviano,36,23,Monica Rodriguez,12144560956,
0t3mcXp84obQ94aePxoj9Z,Música Folclórica de Bolivia,73,178,Maite Monasterios Medrano,12177428216,
1d29qW0wQRs5Oqi8Fobj8X,Folclore boliviano bailable,44,174,Hayvilmacruz,vsl5dfgfje9l0orxjz8ompcfm,
2uWefhSt0FzL1GuY5QAkXd,Charango Boliviano,327,614,luchomusica2010,luchomusica2010,Este es el sitio de los enamorados de este bello instrumento boliviano el charango
1Sl9Ov25YF5yMHvbtZSZqq,Proyeccion de bolivia,9,347,Julio Alfredo Segil,julial2904,
7xg9H8UArAZRNW4UbtkuYG,TOP HITS BOLIVIA,60,6039,Digster Chile,digsterchile,"Disfruta y escucha los 50 hits más sonados de Bolivia, todos en una sola lista. Cover: Cali y El Dandee"
6sGsiDWCrnnHWOoZ7YfJyF,Música Boliviana,477,860,Danne Grönskog,118461213,"Una compilacion de canciones bolivianas para disfrutar y amar nuestra patria querida, amada Bolivia en toda su grandeza."
