artist_id,name,popularity,followers,genres
4yeqpBcdqzt9AVvvzTpJq6,Pateando al Perro,4,163,['bolivian rock']
2UNMW1OKE0X1cwJHWER67g,Banda Conmoción,40,50180,"['andean', 'chicha', 'cumbia chilena', 'nueva cancion']"
0S7MwI5YpZTkhA5aiDm0uM,Jordan,32,420,[]
731CL04Ihoz7ALgmzdb7OG,Zckrap,4,20,[]
3JY4oF6rBQ45FSVUJtXixb,Los Fronterizos,40,43802,"['chamame', 'folclore salteno', 'folklore argentino', 'nueva cancion']"
4bIAgnT0lu5DEyW5wjKhQr,Andesur,0,862,['salay']
3o8EBZynaPaIvOU426I4Oj,Veneno,16,102,['cumbia boliviana']
1bAItp0jYx6k2Bz1jV0muN,PliKa,2,54,[]
3Zs54ac5VlHeb45fZWGfE3,Grupo Coca,11,855,"['andean', 'folklore boliviano']"
0zH0q8zvyu7U7XyLNHCnzK,Diáfana,6,101,['bolivian rock']
25A9fsEfQXPj2CXyhRaa0u,Los Bolitas,18,1342,['bolivian rock']
5xwugJ4uudppmOCCZateE5,Liberación,67,490466,"['banda', 'cumbia', 'grupera', 'gruperas inmortales', 'norteno', 'regional mexican', 'tejano']"
0tMEHta5p06GCSdnSPNS8B,Roberto Torres,45,18097,"['charanga', 'latin jazz', 'salsa', 'salsa international']"
37zUz0gjTaNCWTOymnuWGG,Jambao,56,134445,"['cuarteto', 'cumbia villera']"
4vU3H8sq9yP4L6dyg0rPAC,Ácido Domingo,1,59,['indie boliviano']
6MQ5MPVzJpzqwxkknxsnZX,ETIQUETA NEGRA BOLIVIA,23,394,['cumbia boliviana']
3KagqkxCt4MtrO4sgT6Nfw,Lapsus !,8,383,[]
1CIQKMq8233RjSs4VMk0a9,Atajo,28,4349,"['andean', 'bolivian rock']"
5uC2chHZVl86bCZ03FI395,Últimos Glaciares,9,319,['indie boliviano']
3J1oRqweouXXt7Mj6A63Vn,Grupo Femenino Bolivia,26,383,['folklore boliviano']
6fBjnfeYEU3VFuQl8RPrp8,Samuray,59,225439,"['banda', 'cumbia', 'cumbia sonidera', 'duranguense', 'grupera', 'gruperas inmortales', 'regional mexican']"
1gDMh0uBJK6JP61hn5PFzs,Surdo,3,240,['bolivian rock']
5NXKyBaz4vmAgsGY28fw1F,Mauro Nuñez,5,267,['charango']
50qwnyzu5dUP7JTZ1f93pz,Doble-A,15,834,['bolivian rock']
24ekejeYKRsI7YE26PczBs,Sentimiento Andino,23,713,['andean flute']
6Y2Lacqni5uPW6SROD6Jlx,Rumillajta,28,3495,['andean']
7nGJIrYTEJHOMex1dZG3o9,Illapa Reggae,8,614,[]
4Ndmj2D1NcPFkJG4hqBPhO,Willy Claure,31,2868,['andean']
65HeWoVlrScT9hxZkkXgIg,La Lenta Love Rap,33,25013,['peruvian hip hop']
1GlOpg3dPUft550esb82K3,Chaqueño Palavecino,61,259179,"['chamame', 'cumbia villera', 'folclore salteno', 'folklore argentino']"
1ztGrQE8wrNwgewKy9JcTG,Animal de Ciudad,19,2075,['bolivian rock']
6pVmT18pd1QaofDegZUEKX,La Nueva Luna,62,354542,"['argentine rock', 'cumbia villera']"
7brQxl56LuqwAZPoLXBD31,Ozono Bolivia,0,1791,['folklore boliviano']
7icDj3mEmk3X2phthD7iA2,Matamba,38,18036,"['bolivian rock', 'reggae en espanol']"
0YOLH9TIP7O6oDFPz9JXju,Torkuatos,6,265,['indie boliviano']
1nqk2fIHKCbcUFAYoyNodA,Grillo Villegas,13,2029,"['bolivian rock', 'indie boliviano']"
53UBgzqCabyAZ0NpEDr26a,Música de Maestros,16,557,['folklore boliviano']
4WAaTakxKxopv7WBTERVpE,World Band,0,0,[]
4Apvih9OZt9ghebGFIVcXI,Los Del Suquía,38,15661,"['chamame', 'folklore argentino']"
7LdXWN5g8yECAbIvEjyy8V,Mistika,5,67,[]
4bU6ICsClJhv4OsHrTlwEF,Amaru,24,1059,['folklore boliviano']
2lVPmcuS6vEGXzZbF2tdVE,El Trío Pelotas,17,33,[]
703ukNcs8uA8R9sF7KOWG7,OiL,3,734,['bolivian rock']
394GXzmBJQZsKaS7Pnzd74,Los Brothers,19,1411,['cumbia boliviana']
2yPqUTJGIJXeTLqUn7n3px,La Mara Santos,32,7658,['cumbia boliviana']
5D78NzfoRQeQ9IO1EIjtr9,Alfredo Coca,16,464,"['andean', 'charango']"
5Lwt6KKx8bSwbf6pjRUVkE,Grupo Pk2,0,115,[]
